Index,Title,Published_date,Views,Likes,Comments,Timestamp
21,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,5823,395,21,1660748383000
22,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,21431,1064,151,1660748383000
23,Why Is Data Engineering So HOT Right Now?,2021-11-26,26430,1002,136,1660748383000
24,Is Data Science Dying?,2021-11-19,98570,3213,329,1660748383000
25,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7390,376,112,1660748383000
26,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3512,196,48,1660748383000
27,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,8593,239,31,1660748383000
28,ML Ops: What is it REALLY?,2021-10-22,4853,229,61,1660748383000
29,Business Skills for Data Science: What are they REALLY?,2021-10-18,6129,283,50,1660748383000
30,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2170,123,5,1660748383000
31,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5246,267,67,1660748383000
32,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,11580,508,112,1660748383000
33,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,7561,286,32,1660748383000
34,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,27513,1005,29,1660748383000
35,How I Learned to Learn.,2021-07-31,38949,1965,196,1660748383000
36,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,8044,463,48,1660748383000
37,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2346,93,30,1660748383000
38,Why are APIs Important for Data Science?,2021-07-09,8056,404,92,1660748383000
39,Is Your Phone REALLY Listening to You?,2021-07-03,4830,274,118,1660748383000
40,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,11090,496,121,1660748383000
41,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3706,196,38,1660748383000
42,#66DaysOfData - What is it? #shorts,2021-06-11,7543,330,53,1660748383000
43,A Quick Data Science Project Tip! #SHORTS,2021-06-03,13964,787,89,1660748383000
44,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7181,383,199,1660748383000
45,How Data Science Projects Pay Off,2021-05-22,9896,575,146,1660748383000
46,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9909,464,136,1660748383000
47,What is a lambda function (python)? #shorts,2021-05-13,10177,655,47,1660748383000
48,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,17307,783,57,1660748383000
49,What is Pandas? (Data & Data Science) #shorts,2021-04-30,16405,708,91,1660748383000
50,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,64084,2929,278,1660748383000
51,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22045,646,90,1660748383000
52,Why You Probably Won't Become a Data Scientist,2021-04-09,122552,3576,474,1660748383000
53,How to Go From Data Analyst to Data Scientist,2021-04-02,46863,1333,174,1660748383000
54,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3773,137,89,1660748383000
55,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,13837,306,106,1660748383000
56,My Regrets as a Data Science Student,2021-03-12,22187,818,112,1660748383000
57,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3731,194,83,1660748383000
58,What is the Future of my Comment Leaderboard Project?,2021-02-26,5392,198,81,1660748383000
59,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,5944,162,51,1660748383000
60,Why I Quit Data Science,2021-02-12,102189,2306,350,1660748383000
61,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,8868,410,115,1660748383000
62,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6868,293,126,1660748383000
63,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,8138,270,52,1660748383000
64,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,18280,631,134,1660748383000
65,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,30616,1031,147,1660748383000
66,What is the #66DaysOfData?,2020-12-26,63357,2146,208,1660748383000
67,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,128767,5924,505,1660748383000
68,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10081,379,136,1660748383000
69,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22274,703,325,1660748383000
70,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,23126,734,163,1660748383000
71,6 Lessons from #66DaysOfData,2020-11-13,6544,339,95,1660748383000
72,100K Channel Update + AMA Stream!,2020-11-12,2313,128,24,1660748383000
73,Find a Data Science Project With These 3 Techniques,2020-11-06,14838,633,101,1660748383000
74,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,22153,597,154,1660748383000
75,git for Data Science Made Simple... (Hopefully),2020-10-23,15431,743,92,1660748383000
76,The PODCAST you might have asked for?,2020-10-19,1976,94,44,1660748383000
77,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6472,444,113,1660748383000
78,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,11557,356,48,1660748383000
79,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5773,127,62,1660748383000
80,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,8697,483,81,1660748383000
81,Sh*t Data Scientists Say (Parody),2020-10-05,9000,570,142,1660748383000
82,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8383,362,93,1660748383000
83,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6865,283,61,1660748383000
84,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10311,273,69,1660748383000
85,5 Essential Data Science Projects for Your Portfolio,2020-09-26,64241,2875,201,1660748383000
86,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4954,191,66,1660748383000
87,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9585,393,58,1660748383000
88,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7120,249,34,1660748383000
89,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,4995,192,56,1660748383000
90,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3904,152,35,1660748383000
91,The 5 Pillars of Success I Live By,2020-09-11,9930,868,153,1660748383000
92,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1861,77,25,1660748383000
93,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3802,158,43,1660748383000
94,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11139,715,145,1660748383000
95,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17198,556,90,1660748383000
96,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,15938,752,93,1660748383000
97,Why I'm Starting Data Science Over Again.,2020-08-29,50240,2598,452,1660748383000
98,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14098,591,76,1660748383000
99,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11436,426,54,1660748383000
100,Don't Buy My Course..,2020-08-21,7266,356,148,1660748383000
101,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,27470,1068,166,1660748383000
102,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3108,128,40,1660748383000
103,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6030,533,110,1660748383000
104,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4695,182,39,1660748383000
105,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9356,307,53,1660748383000
106,The Plagiarism Problem in Data Science,2020-08-07,12875,624,150,1660748383000
107,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13921,590,88,1660748383000
108,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4657,183,56,1660748383000
109,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10154,544,90,1660748383000
110,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2262,115,34,1660748383000
111,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5343,249,112,1660748383000
112,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8030,246,201,1660748383000
113,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1824,98,27,1660748383000
114,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,25834,532,90,1660748383000
115,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,229826,5558,387,1660748383000
116,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,28210,1060,120,1660748383000
117,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3470,132,50,1660748383000
118,The Best Computer for Data Science Beginners,2020-07-10,32600,782,156,1660748383000
119,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5986,227,84,1660748383000
120,Critiquing MY OWN Data Science Resume,2020-07-06,11931,385,92,1660748383000
121,Where to Start Learning Data Science,2020-07-03,17756,751,133,1660748383000
122,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3864,195,37,1660748383000
123,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4398,174,54,1660748383000
124,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,14504,522,79,1660748383000
125,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2309,81,40,1660748383000
126,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2358,137,51,1660748383000
127,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4147,163,46,1660748383000
128,Why You're Struggling to Learn Data Science,2020-06-12,14881,999,159,1660748383000
129,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,9829,308,70,1660748383000
130,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,20987,643,151,1660748383000
131,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5599,154,53,1660748383000
132,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,56249,1858,263,1660748383000
133,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20804,487,81,1660748383000
134,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,49120,1740,174,1660748383000
135,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11011,174,55,1660748383000
136,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,92939,3470,185,1660748383000
137,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3082,146,115,1660748383000
138,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4257,149,74,1660748383000
139,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1350145,47977,1993,1660748383000
140,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5031,185,42,1660748383000
141,What You Need to Know for a Data Science Internship,2020-05-01,16529,968,58,1660748383000
142,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7907,341,57,1660748383000
143,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14782,459,103,1660748383000
144,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2946,84,24,1660748383000
145,5 Tips for Crushing the Work From Home Life,2020-04-20,5178,199,38,1660748383000
146,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,15029,607,123,1660748383000
147,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,21711,611,95,1660748383000
148,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,33192,727,140,1660748383000
149,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,56873,1601,205,1660748383000
150,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,60021,1465,259,1660748383000
151,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,87080,2713,614,1660748383000
152,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,127293,3704,161,1660748383000
153,When Data Science Goes Wrong,2020-03-30,1750,106,32,1660748383000
154,How to ULTRALEARN Data Science,2020-03-27,59198,3711,168,1660748383000
155,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4205,265,50,1660748383000
156,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11404,429,44,1660748383000
157,The Secret Data Scientists Don't Want You to Know,2020-03-16,10145,1102,107,1660748383000
158,The 5 Stages of Learning Data Science,2020-03-13,16544,1250,78,1660748383000
159,Can You Learn Data Science Without a Computer?,2020-03-11,1286,97,14,1660748383000
160,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,324094,20277,612,1660748383000
161,The Data Science Projects that Got Me a Job,2020-03-06,37273,1311,41,1660748383000
162,How to Integrate Data Science into Your Business,2020-03-02,2976,116,18,1660748383000
163,The Problem with Data Science,2020-02-28,3565,149,21,1660748383000
164,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1058,45,16,1660748383000
165,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,95120,1953,89,1660748383000
166,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,285962,16320,507,1660748383000
167,Data Science Advice for College Students,2020-02-14,66631,1909,195,1660748383000
168,Avoid These Data Science Resume Mistakes!,2020-02-10,25410,1140,57,1660748383000
169,Data Science Explained with ... Cooking?,2020-02-07,4453,277,45,1660748383000
170,The 4 Types of Sports Analytics Projects,2020-02-03,22533,783,58,1660748383000
171,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,527,18,13,1660748383000
172,How I Learned Data Science,2020-01-27,90596,2589,210,1660748383000
173,What is Sports Analytics Really?,2020-01-20,16668,500,73,1660748383000
174,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,102244,2898,579,1660748383000
175,How To Learn Programming for Data Science [3 Steps],2020-01-13,28204,1903,98,1660748383000
176,Data Science Fundamentals: SQL Queries,2020-01-10,5532,197,32,1660748383000
177,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2651,136,14,1660748383000
178,The 9 Books That Changed My Perspective in 2019,2020-01-03,3204,178,23,1660748383000
179,The Data Science Interview: What to Expect,2019-12-30,7344,347,32,1660748383000
180,5 Data Science Resolutions for 2020,2019-12-27,468,25,12,1660748383000
181,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,13598,490,91,1660748383000
182,Collision Course: Sports Betting + Data Science,2019-12-20,12937,404,26,1660748383000
183,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,98343,2878,214,1660748383000
184,5 Sports Analytics Books to Get You Started,2019-12-13,8740,326,55,1660748383000
185,Math Needed for Mastering Data Science,2019-12-09,52760,2718,225,1660748383000
186,The 5 Stages of Data Science Adoption,2019-12-06,1167,63,17,1660748383000
187,How YOU Can Land a Sports Analytics Job,2019-12-02,58788,2658,222,1660748383000
188,Data Science Fundamentals: Linear Regression,2019-11-29,5518,158,41,1660748383000
189,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,895,45,12,1660748383000
190,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5054,238,26,1660748383000
191,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,43371,1667,80,1660748383000
192,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5787,135,31,1660748383000
193,Why Selling Is An Important Data Science Skill,2019-11-04,1526,73,13,1660748383000
194,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2547,69,18,1660748383000
195,Why is Balance Important in Data Science?,2019-10-16,658,32,13,1660748383000
196,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,10855,547,56,1660748383000
197,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,2983,97,29,1660748383000
198,6 Habits of Successful Data Scientists,2019-09-13,1828,87,17,1660748383000
199,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3375,85,9,1660748383000
200,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,511,24,29,1660748383000
201,Is Data Science Right For You?,2019-08-18,47152,1105,109,1660748383000
202,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,12863,354,53,1660748383000
203,How To Get Data Science Experience (Without a Job),2019-08-08,27501,1312,71,1660748383000
204,Take Your Data Science Projects From Good to Great,2019-08-05,1513,104,11,1660748383000
205,The Projects You Should Do To Get A Data Science Job,2019-07-30,141060,5466,251,1660748383000
206,What Does a Data Scientist Actually Do?,2019-07-19,31618,1080,73,1660748383000
207,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,11149,322,41,1660748383000
208,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,15693,480,61,1660748383000
209,Data Science: Pros and Cons,2019-06-30,4615,199,18,1660748383000
210,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22127,1080,89,1660748383000
211,My Top 5 Data Science Internship Tips,2019-06-15,10290,441,19,1660748383000
212,Golf STATS: Strokes Gained Explained,2019-06-07,5896,127,28,1660748383000
213,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,577,44,5,1660748383000
214,What I Learned From My Three Degrees,2019-05-17,1171,58,12,1660748383000
215,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,24861,1041,67,1660748383000
216,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1155,40,2,1660748383000
217,Should You Learn R for Data Science?,2019-04-25,17825,497,69,1660748383000
218,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,44545,824,337,1660748383000
219,Work From Home Data Scientist: Day in the Life,2019-04-12,27603,751,103,1660748383000
220,Where to Look for Data Science Jobs,2019-03-29,2904,118,9,1660748383000
221,Data Science: Startup vs. Large Corporation,2019-03-21,1900,71,4,1660748383000
222,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5491,155,25,1660748383000
223,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3933,171,14,1660748383000
224,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,736,29,12,1660748383000
225,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1315,33,8,1660748383000
226,Where YOU Should Start With Data Science Projects,2019-02-19,12637,277,17,1660748383000
227,Watch This Before Applying to Data Science Jobs,2019-02-04,1397,62,13,1660748383000
228,My Top 5 Data Science Resources for 2019,2019-01-05,3581,117,17,1660748383000
229,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,788,36,6,1660748383000
230,The Best Way to Predict NBA Minutes Played,2018-12-11,3531,95,13,1660748383000
231,Demystifying Data Science Roles,2018-11-30,1080,51,5,1660748383000
232,How to Simulate NBA Games in Python,2018-11-19,15497,352,54,1660748383000
233,Should You Get A Masters in Data Science?,2018-11-14,19735,294,141,1660748383000
234,How I Became A Data Scientist From a Business Background,2018-11-12,6052,187,23,1660748383000
235,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7753,175,17,1660748383000
236,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17783,269,41,1660748383000
